id,label
6707,Gertrude Stein
6730,Ariel Ballif
6738,Dorothea Watkins
6749,Joan Phillips
6751,Joyce Yu
6755,Linda Koffman
6772,Sylvia Blenner
6799,Rebecca Young
6803,Trudy Kraft
6841,Jo Young
6845,Mary Aley
6857,Betsy Ann Bailey
6883,Louise Rudd
6885,Mary Coreth
6931,Sally Bianchi
6983,Virginia McGuire
7000,Evelyn M. Logan
7015,Ulrike Penzoldt
7025,Christine Fry
7038,Joan Zell
7111,Shirley Grayson
7138,Vivienne T. Atkins
7145,Barbara Talmadge
7173,Jo Ann Messina
7176,Judy Harris
7178,Louise LaPeri
7179,Lucille Cozenza
7181,Mary Ann Messina
7182,Mary Harris
7213,Sandy Rawden
7393,Joan Ruttiger
7402,Wynne Pearce
7427,Betty Jane Dawson
7432,Gilda Milano
7438,Joyce B. Talal
7440,June Peach
7441,Leonore Goodkin
7443,Mary Hazzard
7446,Susan Koffman
7491,Mary Hunter
7582,Sue Carroll
7591,Elizabeth B. Cubeta
7593,Gerri Patz
7604,Ruth C. Gillespie
7662,Harriet Pattison
7700,Charlotte Durkee
7702,Cynthia Thomas
7709,Elizabeth Wiles
7729,Lois Porter
7748,Veryle K. Allison
7768,Vinnette Justine Carroll
7787,Jo Ann Gilberg
7795,Patricia Acorn
7796,Patricia VanGelder Harris
7803,Susan Acorn
7817,Joanne Telford
7824,Lucinda Abbey Stevens
7825,Lucinda Stevens
7826,Mary Ellen Hecht
7850,Eileen Y. Nakamura
7987,Ann Haskell
7989,Ann T. Mancini
7992,Antoinette Marra
8001,Barbara Flynn
8048,Donia Adzima
8077,Ellen Browning
8110,Gloria Gentile
8128,Heidi Krall
8141,Jacqueline Beymer
8143,Jacquelynne Moody
8152,Jane Barrow
8157,Joan Fisher
8160,Joan Scanzillo
8197,Marie Huntley
8203,Martha Jean Hakes
8205,Mary Kelly
8207,Mary V. Sillers
8221,Nancy Niebuhr
8298,Sandra Beach
8314,Susan Tracy
8328,Viola Romanides
8334,Ynez Lynch
8355,Marjorie MacKenzie
8370,Rosalind Ivan
8392,Grace T Tuttle
8444,Naomi Gurian
8455,Sarah Mendelsohn
8457,Susan Silverman
8506,Val Axelrad
8512,Dana Egan
8539,Trudi Egan
8540,Wendy Nora
8544,Caroline Grossbamm
8571,Judith Zommick
8574,Liz MacLeod
8588,Winifred Katzin
8613,Margaret Carner
8636,Doris Canarie
8637,Doris P. A. Robertson
8653,Ruth M. Fifield
8661,Barbara E. Barlow
8662,Barbara Ivers
8675,Dorothy Chace
8698,Judith O'Keeffe
8699,Lisa Davidson
8701,Lydia Chester
8702,Margaret Davies Carner
8706,Nancy Jean Schoen
8728,Wylma Lynn White
8730,Zelma Weisfeld
8754,Marjorie Maganini
8773,Anita Travaglia
8791,Jackie Pomerleau
8796,Judith Shroeder
8799,Liza Heath
8865,Alice Kraus
8888,Judy O'Keeffe
8891,Nancy G. Schoen
8898,Phoebe Myhrum
8904,Shirley Lanser
9005,Donna Snoek
9011,Ellen Klein
9030,Judy Sokol
9041,Nancy Shank
9081,Dorothy Meltzer
9140,Carmel Affinito
9151,Mary Mazzacane
9162,Barbara Myhrum
9170,Joan Haddad
9173,Kathleen Conneely
9174,Margo Hand
9180,Ruth Brinkman
9213,Louise Hoffman
9225,Sasha von Schoeler
9227,Thelma Ann Jones
9231,Ellen Terry
9235,Gladys Seidelhuber
9242,Mildred Newbury
9255,Suzi Baker
9260,Alice Avanozian
9265,Beth Bready
9268,Evelyn Hoffman
9278,Nora Owens
9285,Ruth Weisler
9286,Ruth Wolff
9310,Hilda Vieau
9415,Carol M. Thomas
9436,Lynn Vandermeulen
9450,Karen Kestler
9453,Karen Mower
9454,Janet D'Esopo
9456,Virginia Cretella
9476,Janet Leonard
9483,Mary Warren Bartlett
9506,Sandy Souter
